###############   #  #   ###############
#. . . . . . .# @ #  #   #. . . . . . .#
#             #   ####   #             #
#   ######                    ######   #
#     ##                        ##     #
#     ##    ...............     ##     #
# . . . . . . . . . . . . . . . . . .  #
#           ###############            #
# . . . . . . . . . . . . . . . . . .  #
# . . . . . . . . . . . . . . . . . .  #
#                                      #
#  #####    #####     #####     #####  #
#     ## ...................... ##     #
#     ## ...................... ##     #
###   ## ...#####     #####.... ##   ###
         ...#      C      #....
   &     ...#             #....    =
###   ## ...###############.... ##   ###
#     ## ...................... ##     #
#     ## ...................... ##     #
#  #####    #####     #####     #####  #
#                                      #
# . . . . . . . . . . . . . . . . . .  #
# . . . . . . . . . . . . . . . . . .  #
#            ###############           #
# . . . . . . . . . . . . . . . . . .  #
#     ##    ...............     ##     #
#     ##                        ##     #
#   ######                    ######   #
#             #   ####   #             #
#. . . . . . .#   #  # $ #. . . . . . .#
###############   #  #   ###############
